timestamp,focus_score,blink_rate_per_min,au4_frown,au12_smile,au6_cheek_raise,au23_lip_compression,psych_signal_tension_score,emotion,micro_expressions
1768888615.9912484,0.8,0.0,0.38,1.0,0.383,0.704,0.31308087419927355,happy (0.46),"{'au23_lip_compression': {'intensity': 0.704, 'duration_frames': 3, 'onset_frame': 12}}"
1768888616.0342164,0.8,0.0,0.382,1.0,0.382,0.706,0.31892845603209885,happy (0.46),"{'au23_lip_compression': {'intensity': 0.706, 'duration_frames': 4, 'onset_frame': 11}}"
1768888616.07117,0.8,0.0,0.38,1.0,0.39,0.693,0.30959104467012566,happy (0.47),"{'au23_lip_compression': {'intensity': 0.706, 'duration_frames': 5, 'onset_frame': 10}}"
1768888616.1011188,0.8,0.0,0.375,1.0,0.391,0.681,0.30771124693396446,happy (0.47),"{'au23_lip_compression': {'intensity': 0.706, 'duration_frames': 6, 'onset_frame': 9}}"
1768888616.1509683,0.8,0.0,0.377,1.0,0.39,0.677,0.3050530501257756,happy (0.47),"{'au23_lip_compression': {'intensity': 0.706, 'duration_frames': 7, 'onset_frame': 8}}"
1768888616.1808646,0.8,0.0,0.368,1.0,0.39,0.664,0.2993632409127965,happy (0.47),{}
1768888616.2058635,0.8,0.0,0.366,1.0,0.389,0.663,0.2997819098289275,happy (0.47),{}
1768888616.2340753,0.8,0.0,0.364,1.0,0.39,0.656,0.2975535348279995,happy (0.47),{}
1768888616.2767754,0.8,0.0,0.372,1.0,0.391,0.649,0.2965707114035943,happy (0.47),{}
1768888616.3203056,0.8,0.0,0.372,1.0,0.389,0.642,0.29512952138363174,happy (0.47),{}
1768888616.3472934,0.8,0.0,0.373,1.0,0.388,0.634,0.2943511478700115,happy (0.47),{}
1768888616.3858867,0.8,0.0,0.373,1.0,0.385,0.622,0.2887936204294581,happy (0.46),{}
1768888616.4140506,0.8,0.0,0.377,1.0,0.381,0.612,0.28916997157893504,happy (0.46),{}
1768888616.4425845,0.8,0.0,0.384,1.0,0.332,0.38,0.23372277131845282,happy (0.40),{}
1768888616.4822452,0.8,0.0,0.405,1.0,0.334,0.108,0.16870378449228712,happy (0.40),{}
1768888616.5066094,0.8,0.0,0.404,1.0,0.328,0.087,0.16378423121876248,happy (0.39),{}
1768888616.5344534,0.8,0.0,0.402,1.0,0.34,0.06,0.15450032178373788,happy (0.41),{}
1768888616.5810938,0.8,0.0,0.399,1.0,0.346,-0.002,0.13837011994103457,happy (0.42),{}
1768888616.6155097,0.8,0.0,0.394,1.0,0.356,0.045,0.1480353850584697,happy (0.43),{}
1768888616.6496837,0.8,0.0,0.391,1.0,0.375,-0.01,0.13292686086108982,happy (0.45),{}
1768888616.6829183,0.8,0.0,0.397,1.0,0.412,-0.083,0.11307059540745923,happy (0.49),{}
1768888616.716918,0.8,0.0,0.397,1.0,0.408,-0.056,0.12167453878135795,happy (0.49),{}
