session_id,timestamp,focus_score,au1_inner_brow_raise,au2_outer_brow_raise,au4_frown,au6_cheek_raise,au7_eye_squeeze,au9_nose_wrinkle,au10_upper_lip_raise,au12_smile,au14_dimpler,au15_mouth_down,au20_lip_stretcher,au23_lip_compression,au25_mouth_open,au26_jaw_drop,avg_ear,head_yaw,head_pitch,symmetry_score,blink_rate_per_min,eye_closed_sec,is_blink,left_iris_x,left_iris_y,right_iris_x,right_iris_y,gaze_direction_x,gaze_direction_y,gaze_deviation,tension_score,tension_level,tension_sources_brow_furrow,tension_sources_lip_compression,tension_sources_eye_closure,tension_sources_expression_instability,tension_sources_emotional_influence,micro_exp_au_name,micro_exp_intensity,micro_exp_duration_frames,micro_exp_onset_frame,dominant_emotion,confidence,emotion_state,is_valid,au1_inner_brow_raise_trend,au1_inner_brow_raise_volatility,au1_inner_brow_raise_change_rate,au2_outer_brow_raise_trend,au2_outer_brow_raise_volatility,au2_outer_brow_raise_change_rate,au4_frown_trend,au4_frown_volatility,au4_frown_change_rate,au6_cheek_raise_trend,au6_cheek_raise_volatility,au6_cheek_raise_change_rate,au7_eye_squeeze_trend,au7_eye_squeeze_volatility,au7_eye_squeeze_change_rate,au9_nose_wrinkle_trend,au9_nose_wrinkle_volatility,au9_nose_wrinkle_change_rate,au10_upper_lip_raise_trend,au10_upper_lip_raise_volatility,au10_upper_lip_raise_change_rate,au12_smile_trend,au12_smile_volatility,au12_smile_change_rate,au14_dimpler_trend,au14_dimpler_volatility,au14_dimpler_change_rate,au15_mouth_down_trend,au15_mouth_down_volatility,au15_mouth_down_change_rate,au20_lip_stretcher_trend,au20_lip_stretcher_volatility,au20_lip_stretcher_change_rate,au23_lip_compression_trend,au23_lip_compression_volatility,au23_lip_compression_change_rate,au25_mouth_open_trend,au25_mouth_open_volatility,au25_mouth_open_change_rate,au26_jaw_drop_trend,au26_jaw_drop_volatility,au26_jaw_drop_change_rate,avg_ear_trend,avg_ear_volatility,avg_ear_change_rate,head_yaw_trend,head_yaw_volatility,head_yaw_change_rate,head_pitch_trend,head_pitch_volatility,head_pitch_change_rate,symmetry_score_trend,symmetry_score_volatility,symmetry_score_change_rate,blink_rate_per_min_trend,blink_rate_per_min_volatility,blink_rate_per_min_change_rate,eye_closed_sec_trend,eye_closed_sec_volatility,eye_closed_sec_change_rate,is_blink_trend,is_blink_volatility,is_blink_change_rate,left_iris_x_trend,left_iris_x_volatility,left_iris_x_change_rate,left_iris_y_trend,left_iris_y_volatility,left_iris_y_change_rate,right_iris_x_trend,right_iris_x_volatility,right_iris_x_change_rate,right_iris_y_trend,right_iris_y_volatility,right_iris_y_change_rate,gaze_direction_x_trend,gaze_direction_x_volatility,gaze_direction_x_change_rate,gaze_direction_y_trend,gaze_direction_y_volatility,gaze_direction_y_change_rate,gaze_deviation_trend,gaze_deviation_volatility,gaze_deviation_change_rate
20260304_135106,1772603467.77166,0.3,0.228,0.282,0.054,0.443,0.547,0.497,0.0,0.0,0.749,0.008,0.0,0.74,0.0,0.0,0.453,0.298,-0.999,0.993,0.0,0.0,0,0.522,0.567,0.611,0.57,-0.073,-0.618,0.622,0.529,medium,0.071,0.962,0.0,0.291,0.215,,,,,anxiety,0.537,neutral,1,0.867,0.302,0.159,1.0,0.302,0.164,0.239,0.436,0.054,1.0,0.302,0.168,1.0,0.302,0.176,1.0,0.302,0.196,0.0,0.0,0.0,0.097,0.054,1.0,1.0,0.306,0.243,0.068,0.025,1.0,0.097,0.054,1.0,1.0,0.606,0.836,-0.018,0.038,1.0,0.219,0.169,1.0,1.0,0.302,0.229,1.0,0.302,0.152,-1.0,1.0,1.0,-0.021,0.002,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.001,0.002,0.0,0.0,0.001,0.008,0.001,0.001,0.008,0.001,0.003,0.007,0.063,0.728,-0.32,0.151,1.0,0.316,0.025,0.048
20260304_135106,1772603467.799194,0.3,0.22,0.273,0.049,0.44,0.553,0.497,0.0,0.013,0.706,0.014,0.013,0.839,0.014,0.0,0.447,0.303,-0.999,0.994,0.0,0.0,0,0.522,0.567,0.611,0.568,-0.076,-0.615,0.62,0.554,medium,0.064,1.0,0.0,0.295,0.231,,,,,anxiety,0.578,neutral,1,0.706,0.289,0.071,0.891,0.29,0.076,0.174,0.422,0.162,1.0,0.289,0.139,1.0,0.289,0.186,1.0,0.289,0.179,0.0,0.0,0.0,0.105,0.057,1.0,1.0,0.293,0.093,0.09,0.038,1.0,0.105,0.057,1.0,1.0,0.576,1.0,0.028,0.05,1.0,0.148,0.164,1.0,1.0,0.29,0.177,0.932,0.289,0.18,-1.0,1.0,1.0,-0.017,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011,0.001,0.003,-0.0,0.0,0.001,0.008,0.001,0.002,0.002,0.001,0.004,0.018,0.061,0.756,-0.289,0.148,1.0,0.284,0.024,0.036
20260304_135106,1772603467.8348188,0.3,0.22,0.273,0.052,0.44,0.55,0.497,0.0,0.0,0.731,0.011,0.0,0.806,0.0,0.0,0.45,0.302,-0.999,0.994,0.0,0.0,0,0.523,0.567,0.611,0.569,-0.074,-0.618,0.623,0.55,medium,0.068,1.0,0.0,0.294,0.226,,,,,anxiety,0.565,neutral,1,0.584,0.278,0.063,0.739,0.279,0.07,0.138,0.407,0.017,1.0,0.278,0.129,1.0,0.278,0.159,1.0,0.277,0.163,0.0,0.0,0.0,0.071,0.056,1.0,1.0,0.282,0.159,0.093,0.041,1.0,0.071,0.056,1.0,1.0,0.549,0.862,0.016,0.048,1.0,0.1,0.159,1.0,1.0,0.278,0.176,0.809,0.278,0.157,-1.0,1.0,1.0,-0.015,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008,0.001,0.001,-0.0,0.0,0.0,0.008,0.001,0.002,0.0,0.001,0.002,0.028,0.06,0.743,-0.271,0.148,1.0,0.265,0.024,0.043
20260304_135106,1772603467.8714623,0.3,0.218,0.275,0.061,0.436,0.537,0.497,0.0,0.0,0.723,0.016,0.0,0.919,0.0,0.0,0.463,0.303,-0.999,0.994,0.0,0.0,0,0.523,0.566,0.611,0.569,-0.075,-0.622,0.627,0.562,medium,0.079,1.0,0.0,0.295,0.235,,,,,anxiety,0.588,neutral,1,0.486,0.269,0.045,0.626,0.269,0.079,0.131,0.391,0.292,1.0,0.268,0.1,1.0,0.268,0.095,1.0,0.267,0.152,0.0,0.0,0.0,0.046,0.056,1.0,1.0,0.271,0.122,0.105,0.05,1.0,0.046,0.056,1.0,1.0,0.529,1.0,0.007,0.047,1.0,0.066,0.154,1.0,1.0,0.268,0.226,0.71,0.268,0.151,-1.0,1.0,1.0,-0.012,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006,0.001,0.0,-0.002,0.0,0.002,0.008,0.001,0.002,-0.001,0.001,0.002,0.031,0.059,0.754,-0.263,0.149,1.0,0.256,0.024,0.053
20260304_135106,1772603467.8979845,0.3,0.219,0.277,0.057,0.433,0.533,0.497,0.0,0.0,0.728,0.019,0.0,0.97,0.0,0.0,0.467,0.302,-0.999,0.994,0.0,0.0,0,0.522,0.567,0.611,0.569,-0.071,-0.627,0.631,0.56,medium,0.074,1.0,0.0,0.296,0.235,,,,,anxiety,0.588,neutral,1,0.412,0.26,0.05,0.543,0.26,0.094,0.116,0.378,0.127,0.866,0.259,0.076,1.0,0.259,0.072,1.0,0.258,0.141,0.0,0.0,0.0,0.029,0.055,1.0,1.0,0.262,0.129,0.119,0.06,1.0,0.029,0.055,1.0,1.0,0.514,1.0,0.002,0.046,1.0,0.042,0.15,1.0,1.0,0.259,0.229,0.627,0.259,0.133,-1.0,1.0,1.0,-0.01,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005,0.001,0.001,-0.002,0.0,0.0,0.008,0.001,0.003,-0.002,0.001,0.002,0.041,0.059,0.715,-0.261,0.152,1.0,0.254,0.025,0.064
20260304_135106,1772603467.9250474,0.3,0.225,0.282,0.067,0.432,0.537,0.496,0.0,0.0,0.721,0.023,0.0,0.955,0.0,0.0,0.463,0.303,-0.999,0.994,0.0,0.0,0,0.522,0.568,0.611,0.569,-0.075,-0.634,0.638,0.564,medium,0.087,1.0,0.0,0.298,0.235,,,,,anxiety,0.588,neutral,1,0.364,0.252,0.099,0.484,0.251,0.119,0.123,0.366,0.501,0.749,0.251,0.066,0.976,0.251,0.084,0.964,0.25,0.128,0.0,0.0,0.0,0.017,0.054,1.0,1.0,0.254,0.1,0.133,0.071,1.0,0.017,0.054,1.0,1.0,0.498,1.0,-0.002,0.045,1.0,0.024,0.146,1.0,0.985,0.251,0.193,0.558,0.25,0.128,-1.0,1.0,1.0,-0.009,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006,0.001,0.002,0.001,0.001,0.005,0.007,0.001,0.001,-0.001,0.001,0.001,0.039,0.058,0.754,-0.268,0.16,1.0,0.261,0.026,0.082
20260304_135106,1772603467.9522827,0.3,0.221,0.275,0.057,0.43,0.534,0.496,0.0,0.0,0.738,0.031,0.0,0.967,0.0,0.0,0.466,0.301,-0.999,0.995,0.0,0.0,0,0.522,0.57,0.61,0.57,-0.071,-0.635,0.639,0.561,medium,0.074,1.0,0.0,0.301,0.235,,,,,anxiety,0.588,neutral,1,0.318,0.244,0.057,0.422,0.244,0.061,0.108,0.355,0.103,0.65,0.243,0.054,0.852,0.243,0.066,0.861,0.243,0.12,0.0,0.0,0.0,0.008,0.053,1.0,1.0,0.246,0.144,0.155,0.089,1.0,0.008,0.053,1.0,1.0,0.484,0.995,-0.005,0.043,1.0,0.012,0.142,1.0,0.903,0.244,0.196,0.496,0.243,0.105,-1.0,1.0,1.0,-0.007,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006,0.001,0.003,0.006,0.001,0.01,0.006,0.001,0.0,0.001,0.001,0.004,0.046,0.059,0.705,-0.271,0.166,1.0,0.263,0.026,0.079
20260304_135106,1772603467.9903607,0.3,0.224,0.276,0.053,0.426,0.537,0.496,0.0,0.0,0.731,0.042,0.0,0.988,0.0,0.0,0.463,0.296,-0.999,0.994,0.0,0.0,0,0.521,0.572,0.61,0.573,-0.066,-0.644,0.647,0.56,medium,0.069,1.0,0.0,0.307,0.235,,,,,anxiety,0.588,neutral,1,0.285,0.237,0.088,0.372,0.237,0.065,0.09,0.345,0.039,0.563,0.237,0.032,0.755,0.237,0.076,0.773,0.236,0.11,0.0,0.0,0.0,0.001,0.052,1.0,1.0,0.239,0.115,0.185,0.115,1.0,0.001,0.052,1.0,1.0,0.471,0.98,-0.007,0.042,1.0,0.002,0.139,1.0,0.824,0.237,0.169,0.437,0.236,0.07,-1.0,1.0,1.0,-0.007,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007,0.001,0.004,0.012,0.002,0.016,0.005,0.001,0.0,0.006,0.002,0.013,0.057,0.062,0.662,-0.282,0.177,1.0,0.273,0.028,0.102
20260304_135106,1772603468.030446,0.3,0.23,0.29,0.057,0.417,0.549,0.493,0.0,0.0,0.713,0.063,0.0,0.938,0.0,0.0,0.451,0.286,-0.999,0.996,0.0,0.0,0,0.521,0.575,0.61,0.576,-0.058,-0.661,0.663,0.587,medium,0.074,1.0,0.0,0.479,0.235,,,,,anxiety,0.588,neutral,1,0.265,0.231,0.133,0.351,0.231,0.168,0.081,0.336,0.085,0.479,0.231,0.013,0.691,0.23,0.119,0.694,0.229,0.095,0.0,0.0,0.0,-0.003,0.051,1.0,1.0,0.233,0.055,0.234,1.0,1.0,-0.003,0.051,1.0,1.0,0.458,0.757,-0.008,0.042,1.0,-0.004,0.136,1.0,0.737,0.231,0.102,0.374,0.23,0.006,-1.0,1.0,1.0,-0.004,0.001,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007,0.001,0.004,0.022,0.004,0.028,0.004,0.001,0.001,0.015,0.003,0.023,0.076,0.074,0.575,-0.311,0.203,1.0,0.3,0.032,0.149
20260304_135106,1772603468.0704856,0.3,0.243,0.314,0.066,0.405,0.524,0.492,0.0,0.0,0.674,0.078,0.0,0.925,0.0,0.0,0.476,0.28,-0.999,0.996,0.0,0.0,0,0.521,0.577,0.609,0.579,-0.053,-0.69,0.692,0.591,medium,0.086,1.0,0.0,0.49,0.235,,,,,anxiety,0.588,neutral,1,0.264,0.226,0.252,0.362,0.226,0.336,0.084,0.328,0.418,0.395,0.226,0.069,0.602,0.225,0.015,0.625,0.224,0.085,0.0,0.0,0.0,-0.007,0.05,1.0,0.878,0.228,0.058,0.287,1.0,1.0,-0.007,0.05,1.0,1.0,0.446,0.669,-0.009,0.041,1.0,-0.009,0.133,1.0,0.697,0.225,0.215,0.314,0.225,0.046,-1.0,1.0,1.0,-0.001,0.001,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008,0.001,0.004,0.031,0.005,0.033,0.003,0.001,0.003,0.025,0.004,0.032,0.096,0.087,0.527,-0.366,0.254,1.0,0.353,0.039,0.233
20260304_135106,1772603468.103679,0.3,0.241,0.309,0.056,0.399,0.517,0.491,0.0,0.0,0.648,0.091,0.0,0.976,0.0,0.0,0.483,0.278,-0.999,0.996,0.0,0.0,0,0.521,0.578,0.61,0.579,-0.05,-0.706,0.708,0.59,medium,0.073,1.0,0.0,0.502,0.235,,,,,anxiety,0.588,neutral,1,0.258,0.221,0.217,0.359,0.222,0.28,0.075,0.32,0.035,0.32,0.221,0.093,0.519,0.22,0.014,0.565,0.218,0.075,0.0,0.0,0.0,-0.009,0.05,1.0,0.71,0.224,0.131,0.339,1.0,1.0,-0.009,0.05,1.0,1.0,0.435,0.771,-0.009,0.04,1.0,-0.013,0.13,1.0,0.667,0.22,0.237,0.263,0.22,0.061,-1.0,1.0,1.0,0.001,0.001,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009,0.001,0.006,0.038,0.006,0.033,0.002,0.001,0.001,0.032,0.005,0.031,0.113,0.1,0.503,-0.422,0.308,1.0,0.407,0.048,0.272
