video_id,duration_sec,duration_source,n_face_frames,n_gesture_frames,face_detection_rate,too_short_for_rate
vid_0704,13.467,frames/fps,135,135,1.0000,0
vid_0705,40.633,frames/fps,403,407,1.0000,0
vid_0706,15.200,frames/fps,152,152,1.0000,0
vid_0707,27.633,frames/fps,277,277,1.0000,0
vid_0708,22.800,frames/fps,228,228,1.0000,0
vid_0709,21.200,frames/fps,212,212,1.0000,0
vid_0710,25.567,frames/fps,256,256,1.0000,0
vid_0711,31.000,frames/fps,310,310,1.0000,0
vid_0712,20.433,frames/fps,205,205,1.0000,0
vid_0713,14.000,frames/fps,140,140,1.0000,0
vid_0714,13.500,frames/fps,135,135,1.0000,0
vid_0715,7.300,frames/fps,73,73,1.0000,0
vid_0716,11.467,frames/fps,115,115,1.0000,0
vid_0717,20.200,frames/fps,202,202,1.0000,0
vid_0718,14.033,frames/fps,141,141,1.0000,0
vid_0719,60.533,frames/fps,606,606,1.0000,0
vid_0720,7.400,frames/fps,74,74,1.0000,0
vid_0721,15.467,frames/fps,155,155,1.0000,0
vid_0722,6.867,frames/fps,69,69,1.0000,0
vid_0723,50.167,frames/fps,502,502,1.0000,0
vid_0724,23.633,frames/fps,237,237,1.0000,0
vid_0725,13.267,frames/fps,133,133,1.0000,0
vid_0726,17.900,frames/fps,179,179,1.0000,0
vid_0727,51.933,frames/fps,520,520,1.0000,0
vid_0728,50.367,frames/fps,504,504,1.0000,0
vid_0729,10.800,frames/fps,108,108,1.0000,0
vid_0730,35.833,frames/fps,359,359,1.0000,0
vid_0731,41.333,frames/fps,414,414,1.0000,0
vid_0732,23.633,frames/fps,237,237,1.0000,0
vid_0733,23.700,frames/fps,237,237,1.0000,0
vid_0734,22.200,frames/fps,222,222,1.0000,0
vid_0735,24.600,frames/fps,246,246,1.0000,0
vid_0736,33.000,frames/fps,330,330,1.0000,0
vid_0737,37.100,frames/fps,371,371,1.0000,0
vid_0738,16.500,frames/fps,165,165,1.0000,0
vid_0739,25.767,frames/fps,258,258,1.0000,0
vid_0740,20.733,frames/fps,208,208,1.0000,0
vid_0741,29.600,frames/fps,296,296,1.0000,0
vid_0742,17.500,frames/fps,175,175,1.0000,0
vid_0743,41.400,frames/fps,414,414,1.0000,0
vid_0744,34.833,frames/fps,349,349,1.0000,0
vid_0745,35.033,frames/fps,351,351,1.0000,0
vid_0746,25.367,frames/fps,254,254,1.0000,0
vid_0747,10.100,frames/fps,101,101,1.0000,0
vid_0748,13.600,frames/fps,136,136,1.0000,0
vid_0749,60.367,frames/fps,604,604,1.0000,0
vid_0750,28.600,frames/fps,286,286,1.0000,0
vid_0751,7.900,frames/fps,79,79,1.0000,0
vid_0752,58.267,frames/fps,583,583,1.0000,0
vid_0753,16.600,frames/fps,166,166,1.0000,0
vid_0754,37.933,frames/fps,380,380,1.0000,0
vid_0755,14.000,frames/fps,140,140,1.0000,0
vid_0756,28.600,frames/fps,286,286,1.0000,0
vid_0757,1.400,frames/fps,14,14,1.0000,1
vid_0758,38.300,frames/fps,382,383,1.0000,0
vid_0759,6.600,frames/fps,65,66,1.0000,0
vid_0760,13.700,frames/fps,135,137,1.0000,0
vid_0761,40.133,frames/fps,402,402,1.0000,0
vid_0762,8.933,frames/fps,90,90,1.0000,0
